code,name,description,school_code,places_for_work
car_soc_0001,គ្រូមត្តេយ្យ,គ្រូត្រូវង្រៀនកុមារអាយុក្រោម ៦ឆ្នាំ។ មានតួនាទីបង្រៀនកុមារឲ្យមានអនាម័យ ប្រើភាសាក្នុងការនិយាយស្ដី ជាមនុស្សចេះអត់ធន់ និងមានចិត្តស្រឡាញ់កុមារ។ គ្រូមត្តេយ្យតម្រូវឲ្យប្រលងជាប់បាក់ឌុប និងដាក់ពាក្យប្រលងគ្រូមត្តេយ្យសិក្សា។ ករណីប្រឡងជាប់គ្រូកម្រិតមតេយ្យសិក្សា គាត់ត្រូវទទួលការបណ្តុះបណ្តាលរយៈពេល ២ឆ្នាំសាលាគរុកោសល្យ មត្តេយ្យមជ្ឈឹម ទីក្រុងភ្នំពេញ ដើម្បីក្លាយជាគ្រូប្រកបដោយវិជ្ជាជីវៈ និងមនសិកាគ្រូបង្រៀន ។,សាលាគរុកោសល្យ មត្តេយ្យមជ្ឈឹម(គ្រូមត្តេយ្យ),សាលារដ្ឋ សាលាឯកជន ក្រសួង មន្ទីរ
car_soc_0002,គ្រូបឋមសិក្សា,គ្រូបឋមសិក្សាត្រូវបង្រៀនកុមារចាប់ពីអាយុ ៦ឆ្នាំដល់អាយុ១២​ឆ្នាំ (ថ្នាក់ទី១-៦)។ គ្រូបឋមសិសក្សាត្រូមានចំណេះដឹងលើមុខវិជ្ជាដូចជា៖ គណិតវិទ្យា ប្រវត្តិវិទ្យា ភូមិវិទ្យា ភាសាខ្មែរ ឬភាសាបរទេស ជាដើម។ គ្រូបឋមសិសក្សាត្រូវបង្រៀន ៤ម៉ោងក្នុងមួយថ្ងៃ និងចំណាយពេលផ្សេងទៀត ក្នុងការធ្វើកិច្ចតែងការបង្រៀន ឬផលិតសម្ភារឧបទ្ទេស ជាមុន ដើម្បីធ្វើឲ្យការបង្រៀនមានប្រសិទ្ធិភាព ។​ គ្រូមបឋមសិក្សាតម្រូវឲ្យប្រលងជាប់បាក់ឌុប និងដាក់ពាក្យប្រលងគ្រូបឋមសិក្សា។ ករណីប្រឡងជាប់គ្រូកម្រិតបឋមសិក្សា គាត់ ត្រូវទទួលការបណ្តុះបណ្តាលរយៈពេល ២ឆ្នាំ នៅសាលាគរុកោសល្យ និងវិក្រឹតការខេត្ត។,សាលាគរុកោសល្យ និងវិក្រឹតការខេត្ត(គ្រូបឋមសិក្សា),សាលារដ្ឋ សាលាឯកជន ក្រសួង មន្ទីរ
car_soc_0003,គ្រូមធ្យមសិក្សាបឋមភូមិ,គ្រូមធ្យមសិក្សាបឋមភូមិត្រូវបង្រៀនកុមារចាប់ពីអាយុ ១៣ឆ្នាំដល់អាយុ១៥​ឆ្នាំ (ថ្នាក់ទី៧-៩)។ គ្រូមធ្យមសិក្សាបឋមភូមិ ត្រូវបង្រៀន ទៅលើមុខវិជ្ជាឯកទេសរបស់ខ្លួន តាមម៉ោងកំណត់របស់សាលា ។ គ្រូបង្រៀនត្រូវមានភារកិច្ចធ្វើកិច្ចតែងការបង្រៀន ផលិតសម្ភារឧបទ្ទេស ស្រាវជ្រាវ និងបង្រៀនសិស្សប្រកបដោយក្រមសីលធម៌ និងវិជ្ជាជីវៈខ្ពស់ ។ គាត់ តម្រូវឲ្យប្រលងជាប់បាក់ឌុប និងដាក់ពាក្យប្រលងគ្រូមធ្យមសិក្សាបឋមភូមិ។ ករណីប្រឡងជាប់ធ្វើជាគ្រូបង្រៀន ។គាត់ ត្រូវទទួលការបណ្តុះបណ្តាលរយៈពេល ២ឆ្នាំ នៅមជ្ឈមណ្ឌលគរុកោសល្យភូមិភាគខេត្ត។,មជ្ឈមណ្ឌលគរុកោសល្យ ភូមិភាគខេត្ត(គ្រូមធ្យមសិក្សា),សាលារដ្ឋ សាលាឯកជន ក្រសួង មន្ទីរ
car_soc_0004,គ្រូមធ្យមសិក្សាទុតិយភូមិ,គ្រូមធ្យមសិក្សាទុតិយភូមិត្រូវបង្រៀនកុមារចាប់ពីអាយុ ១៦ឆ្នាំដល់អាយុ១៨​ឆ្នាំ (ថ្នាក់ទី១០-១២)។ គាត់/នាងតម្រូវឲ្យប្រលងជាប់បាក់ឌុប និងសិក្សាតាមសាកលវិទ្យាល័យនានារយៈពេល៤ឆ្នាំ បូកនឹង សិក្សានៅវិទ្យាស្ថានជាតិអប់រំ (NIE)រយៈពេល១ឆ្នាំទៀត។ គ្រូមធ្យមសិក្សាទុតិយភូមិ ត្រូវបង្រៀនមុខវិជ្ជាឯកទេសរបស់ខ្លួន តាមម៉ោងកំណត់របស់សាលា ។ គ្រូបង្រៀនត្រូវមានភារកិច្ចធ្វើកិច្ចតែងការបង្រៀន ផលិតសម្ភារឧបទ្ទេស ស្រាវជ្រាវ និងបង្រៀនសិស្សប្រកបដោយក្រមសីលធម៌ និងវិជ្ជាជីវៈខ្ពស់ ។ ,uni_gov_0001,សាលារដ្ឋ សាលាឯកជន ក្រសួង មន្ទីរ
,,,uni_gov_0011,
,,,uni_pri_0041,
,,,uni_gov_0004,
,,,uni_gov_0003,
,,,វិទ្យាស្ថានអប់រំ (NIE),
car_soc_0005,សាស្រ្តាចារ្យឧត្តមសិក្សា,សាស្រ្តាចារ្យឧត្តមសិក្សាបង្រៀននិស្សិតតាមបណ្តាសាកលវិទ្យាល័យនានា។ គាត់តម្រូវឲ្យមានសញ្ញាប័ត្រសមមូល ដូចជា​៖ កម្រិតបរិញ្ញា អនុបណ្ឌិត  ឬបណ្ឌិត ក្នុងប្រទេស ឬក្រៅប្រទេស។ គាត់ ត្រូវបង្រៀនមុខវិជ្ជាឯកទេសរបស់ខ្លួន តាមម៉ោងកំណត់របស់សាកលវិទ្យាល័យ ។ គាត់ត្រូវមានភារកិច្ចធ្វើកិច្ចតែងការបង្រៀន ផលិតសម្ភារឧបទ្ទេស ស្រាវជ្រាវ និងបង្រៀនសិស្សប្រកបដោយក្រមសីលធម៌ និងវិជ្ជាជីវៈខ្ពស់ និងមានចំណេះដឹងផ្នែក ភាសាអង់គ្លេស និងកុំព្យុទ័រ ។ ,វិទ្យាស្ថានជាតិអប់រំ NIE និង សាកលវិទ្យាល័យក្រៅប្រទេស,សាកលវិទ្យាល័យនានា អង្គការក្រៅរដ្ឋាភិបាល ក្រុមហ៊ុនឯកជន ឬស្ថាប័នរដ្ឋ
